dcs_rnd1_001|De asemenea, contează și dacă imobilul este la stradă sau nu|De asemenea, contează și dacă imobilul este la stradă sau nu
dcs_rnd1_002|Până în prezent, proiectul avea susținerea ambelor partide, care și-au împărțit deja conducerea noilor entități|Până în prezent, proiectul avea susținerea ambelor partide, care și-au împărțit deja conducerea noilor entități
dcs_rnd1_003|Băimăreanul urăște lipsa de punctualitate și fățărnicia|Băimăreanul urăște lipsa de punctualitate și fățărnicia
dcs_rnd1_004|În acest cămin au prioritate studenții în ani terminali|În acest cămin au prioritate studenții în ani terminali
dcs_rnd1_005|Dincolo de efectele economice și comerciale, greva ne face să avem și lipsă de încredere în justiție|Dincolo de efectele economice și comerciale, greva ne face să avem și lipsă de încredere în justiție
dcs_rnd1_006|Dacă vecinii nu reclamă, noi nu putem depista spargerile de pereți ilegale din apartamente|Dacă vecinii nu reclamă, noi nu putem depista spargerile de pereți ilegale din apartamente
dcs_rnd1_007|Amploarea nu va fi aceeași, dar organizatorii se vor strădui să aducă produse autentic germane la poalele Tâmpei|Amploarea nu va fi aceeași, dar organizatorii se vor strădui să aducă produse autentic germane la poalele Tâmpei
dcs_rnd1_008|Vreau să continuu în acest domeniu până la sfârșitul vieții|Vreau să continuu în acest domeniu până la sfârșitul vieții
dcs_rnd1_009|Căzăturile sunt la ordinea zilei, am picioarele negre, sunt ca un dalmațian|Căzăturile sunt la ordinea zilei, am picioarele negre, sunt ca un dalmațian
dcs_rnd1_010|Pe de altă parte, conform rezultatelor obținute|Pe de altă parte, conform rezultatelor obținute
dcs_rnd1_011|Nu este însă la fel de clar cu cât ar crește consumul și dependența de droguri|Nu este însă la fel de clar cu cât ar crește consumul și dependența de droguri
dcs_rnd1_012|Departajarea se face pe probe de cincizeci de metri care trebuiesc parcurse în zece secunde|Departajarea se face pe probe de cincizeci de metri care trebuiesc parcurse în zece secunde
dcs_rnd1_013|O păstrez ca amintire la loc de cinste își amintește informaticianul|O păstrez ca amintire la loc de cinste își amintește informaticianul
dcs_rnd1_014|Sabău spune că stilul de joc al lăncierilor este același ca și pe vremea când juca el în Olanda|Sabău spune că stilul de joc al lăncierilor este același ca și pe vremea când juca el în Olanda
dcs_rnd1_015|M-am înțeles bine cu toată echipa, mi-a plăcut foarte mult, spune ea|M-am înțeles bine cu toată echipa, mi-a plăcut foarte mult, spune ea
dcs_rnd1_016|Dacă îi prindem nu exmatriculăm din facultate|Dacă îi prindem nu exmatriculăm din facultate
dcs_rnd1_017|Pe lângă câini bătrâni avem și căței foarte drăguți și inteligenți|Pe lângă câini bătrâni avem și căței foarte drăguți și inteligenți
dcs_rnd1_018|Ion Tirinescu deține funcția de șef al poliției rutiere Hunedoara din anul două mii cinci|Ion Tirinescu deține funcția de șef al poliției rutiere Hunedoara din anul două mii cinci
dcs_rnd1_019|Răspunde nu numai de funcționarea optimă ci și de asigurarea banilor pentru toate cheltuielile radioului|Răspunde nu numai de funcționarea optimă ci și de asigurarea banilor pentru toate cheltuielile radioului
dcs_rnd1_020|I-a plăcut jurnalismul și pentru a ajunge să fie formator de opinie, a început facultatea la Pitești|I-a plăcut jurnalismul și pentru a ajunge să fie formator de opinie, a început facultatea la Pitești
dcs_rnd1_021|Sunt unii care au descoperit pe aceste rețele foști colegi de școală|Sunt unii care au descoperit pe aceste rețele foști colegi de școală
dcs_rnd1_022|Arădenii sunt din ce în ce mai speriați la gândul că trebuie să circule pe drumul Arad Șiria|Arădenii sunt din ce în ce mai speriați la gândul că trebuie să circule pe drumul Arad Șiria
dcs_rnd1_023|Pe toate rutele din județul Vâlcea se fac, începând de săptămâna aceasta, controale care vizează activitățile de transport persoane|Pe toate rutele din județul Vâlcea se fac, începând de săptămâna aceasta, controale care vizează activitățile de transport persoane
dcs_rnd1_024|Capitala și nord-estul au cunoscut cele mai mari ritmuri de creștere ale sumelor restante|Capitala și nord-estul au cunoscut cele mai mari ritmuri de creștere ale sumelor restante
dcs_rnd1_025|Vechile cabinete erau la o distanță de o sută cincizeci de metri de spital și nu corespundeau reglementărilor Ministerului Sănătății|Vechile cabinete erau la o distanță de o sută cincizeci de metri de spital și nu corespundeau reglementărilor Ministerului Sănătății
dcs_rnd1_026|Fără aceste două elemente de bază nu ai cum să lucrezi cu niciun copil|Fără aceste două elemente de bază nu ai cum să lucrezi cu niciun copil
dcs_rnd1_027|Dorim să atragem finanțarea printr-un program transfrontalier cu Republica Moldova|Dorim să atragem finanțarea printr-un program transfrontalier cu Republica Moldova
dcs_rnd1_028|La ora actuală oamenii sunt preocupați de a avea și nu mai sunt preocupați de a fi|La ora actuală oamenii sunt preocupați de a avea și nu mai sunt preocupați de a fi
dcs_rnd1_029|Românii din străinătate nu există pentru autoritățile române de acolo, a oftat mama bărbatului|Românii din străinătate nu există pentru autoritățile române de acolo, a oftat mama bărbatului
dcs_rnd1_030|De asemenea este organizat și campionatul național de car-audio|De asemenea este organizat și campionatul național de car-audio
dcs_rnd1_031|Printre taxele cele mai mari le are Facultatea de Drept|Printre taxele cele mai mari le are Facultatea de Drept
dcs_rnd1_032|Comitetul de implementare are rolul de a supraveghea îndeplinirea obligațiilor ce revin părților la convenție|Comitetul de implementare are rolul de a supraveghea îndeplinirea obligațiilor ce revin părților la convenție
dcs_rnd1_033|Locația a fost stabilită de către inspectoratul școlar Arad, la grădinița cu program prelungit, situată în centrul orașului|Locația a fost stabilită de către inspectoratul școlar Arad, la grădinița cu program prelungit, situată în centrul orașului
dcs_rnd1_034|Precizează Gheorghe Crivac, unul dintre prorectorii Universității Pitești|Precizează Gheorghe Crivac, unul dintre prorectorii Universității Pitești
dcs_rnd1_035|Uneori suntem chiar mai bune decât ei|Uneori suntem chiar mai bune decât ei
dcs_rnd1_036|Compania mai are activități în domenii precum imobiliare, tehnologie și energie|Compania mai are activități în domenii precum imobiliare, tehnologie și energie
dcs_rnd1_037|Am fost cu mama și cu sora mea|Am fost cu mama și cu sora mea
